name,amenity,country,iso3,source,latitude,longitude,building,addr_city,operator
Institut Supérieur de Développement d’Entreprises,college,Burkina Faso,BFA,HOTOSM/OSM,12.32943,-1.615641,,,private
Ecole CEFISE BENAJA DE BENDOGO,school,Burkina Faso,BFA,HOTOSM/OSM,12.388642,-1.454412,,,
École Tabtinga,school,Burkina Faso,BFA,OSM,12.38016,-1.46145,,,
Groupe Scolaire Saint Viateur,school,Burkina Faso,BFA,HOTOSM/OSM,12.377835,-1.467295,,,
École Dassasgo C D,school,Burkina Faso,BFA,HOTOSM/OSM,12.373611,-1.476664,,,
ESTA Annexe,university,Burkina Faso,BFA,HOTOSM/OSM,12.370408,-1.475271,,,
École Wemtenga,school,Burkina Faso,BFA,HOTOSM/OSM,12.373356,-1.484527,,,
EPFWP,school,Burkina Faso,BFA,HOTOSM/OSM,12.381187,-1.479155,,,
École Dassasgo A E F,school,Burkina Faso,BFA,HOTOSM/OSM,12.385423,-1.474666,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.384762,-1.43815,school,,
École Kossodo A D,school,Burkina Faso,BFA,HOTOSM/OSM,12.416795,-1.468462,,,
Université Privée de Ouagadougou,university,Burkina Faso,BFA,OSM,12.41201,-1.46273,,,
مدرسة الأخلاق,school,Burkina Faso,BFA,HOTOSM/OSM,12.385698,-1.482416,,,
École Nabonswendé,school,Burkina Faso,BFA,HOTOSM/OSM,12.389695,-1.479816,,,
ENAREF,college,Burkina Faso,BFA,OSM,12.39179,-1.47954,,,
Fondation Jean Paul II IPD AOS,school,Burkina Faso,BFA,HOTOSM/OSM,12.392227,-1.467418,,,
École primaire évangélique,school,Burkina Faso,BFA,HOTOSM/OSM,12.38447,-1.463385,,,
Lycée technique Amilcar cabral,school,Burkina Faso,BFA,HOTOSM/OSM,12.381924,-1.461985,,,
Noviciat,school,Burkina Faso,BFA,HOTOSM/OSM,12.384018,-1.460867,,,
Centre de Formation Biblique,school,Burkina Faso,BFA,HOTOSM/OSM,12.384412,-1.459244,,,
"Centre Islamique ""El Nour""",school,Burkina Faso,BFA,OSM,12.3821,-1.46053,,,
Lyce prive la releve sougri nooma,school,Burkina Faso,BFA,HOTOSM/OSM,12.414524,-1.463171,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.382588,-1.440785,school,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.382032,-1.443419,,,
Ecole,school,Burkina Faso,BFA,HOTOSM/OSM,12.384701,-1.442064,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.385961,-1.437232,school,,
Ecole Trame d´accueil,school,Burkina Faso,BFA,HOTOSM/OSM,12.383098,-1.455285,,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.372696,-1.436906,,,
Comlexe scolaire Guinkouma,school,Burkina Faso,BFA,HOTOSM/OSM,12.370213,-1.437026,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.369872,-1.439042,school,,
Groupe scolaire sainte Colette,school,Burkina Faso,BFA,HOTOSM/OSM,12.374151,-1.458839,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.377423,-1.439489,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.402596,-1.438847,school,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.40105,-1.428663,school,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.397642,-1.435261,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.393715,-1.424608,school,,
ecole Elysa,school,Burkina Faso,BFA,HOTOSM/OSM,12.389003,-1.457026,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.399779,-1.422732,school,,
Ecole primaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.403878,-1.426043,,,
,school,Burkina Faso,BFA,HOTOSM/OSM,12.407074,-1.426997,,,
,,Burkina Faso,BFA,HOTOSM/OSM,12.404957,-1.430303,school,,
