name,amenity,country,iso3,source,latitude,longitude,building,addr_city,operator
Institut Burkinabè des Arts et Métiers,university,Burkina Faso,BFA,HOTOSM/OSM,12.40778,-1.497337,,,public
Lycée privé Les élites,school,Burkina Faso,BFA,HOTOSM/OSM,11.134192,0.024113,,,private
Lycée de Cinkansé,school,Burkina Faso,BFA,HOTOSM/OSM,11.13335,0.019387,,,public
École Mixte St-Joseph,school,Burkina Faso,BFA,HOTOSM/OSM,12.348456,-1.498081,yes,,
Ecole Dassasgo B,school,Burkina Faso,BFA,HOTOSM/OSM,12.389365,-1.468436,,,public
KLD institut/ouaga ET Lycée technique Djedri,college,Burkina Faso,BFA,HOTOSM/OSM,12.349006,-1.489637,,,private
Lycée de Tintilou,school,Burkina Faso,BFA,HOTOSM/OSM,12.20022,-1.814161,,,public
"Institut panafricain d'étude et de recherche sur les médias, l'information et la communication",university,Burkina Faso,BFA,HOTOSM/OSM,12.381871,-1.467321,,,public
ESMAT Ecole Superieur De management Et Technologie Appliquées,college,Burkina Faso,BFA,HOTOSM/OSM,12.385332,-1.468086,,,private
CEG de Kaya-Tiébélé,school,Burkina Faso,BFA,HOTOSM/OSM,11.065689,-1.022654,,,public
Ecole primaire de Kaya-Kantiolo,school,Burkina Faso,BFA,HOTOSM/OSM,11.058347,-1.018999,,,public
Center Universitaire des Systèmes d'Information Géographiques et de Télédétection Adjaratou,college,Burkina Faso,BFA,HOTOSM/OSM,12.390009,-1.482741,,,private
Lycée technique apliquée,school,Burkina Faso,BFA,HOTOSM/OSM,12.359889,-1.550888,,,private
Saint Aloys,school,Burkina Faso,BFA,HOTOSM/OSM,12.36119,-1.546225,,,private
Compexe Educatif Zoodo,school,Burkina Faso,BFA,HOTOSM/OSM,13.55144,-2.403509,,,association
Ecole Supérieure de Commerce et d’Informatique de Gestion,university,Burkina Faso,BFA,HOTOSM/OSM,12.362001,-1.543933,,,private
Ecole des Jeunes Aveugle de l'ABPAM,school,Burkina Faso,BFA,HOTOSM/OSM,12.356771,-1.549986,,,ngo
Préscolaire Inclusif de L'Ecole des Jeunes Aveugles de l'ABPAM,kindergarten,Burkina Faso,BFA,HOTOSM/OSM,12.357154,-1.550085,,,ngo
Les Flamboyants,school,Burkina Faso,BFA,HOTOSM/OSM,12.354103,-1.540166,,,private
CELEP BURKINA,school,Burkina Faso,BFA,HOTOSM/OSM,12.360929,-1.545836,,,private
Communal de Diebougou,school,Burkina Faso,BFA,HOTOSM/OSM,10.971201,-3.255285,,,public
Ecole primaire de Touri,school,Burkina Faso,BFA,HOTOSM/OSM,13.395253,-2.642919,yes,,
École Privée Évangélique,school,Burkina Faso,BFA,HOTOSM/OSM,12.201251,-1.80141,,,private
Lycée Wéli,school,Burkina Faso,BFA,HOTOSM/OSM,12.193623,-1.80468,,,private
Institut des Sciences et Techniques de l’Information et de la Communication,college,Burkina Faso,BFA,HOTOSM/OSM,12.369767,-1.514197,,,public
École de Foungou,,Burkina Faso,BFA,HOTOSM/OSM,11.432396,-0.770857,school,Gon Boussougou,
École de Foungou,,Burkina Faso,BFA,HOTOSM/OSM,11.4324,-0.771458,school,Gon Boussougou,
Ecole privée Saint Aloys,school,Burkina Faso,BFA,HOTOSM/OSM,12.362361,-1.55382,,,private
Collège Privé Marguerite Yourcenar,school,Burkina Faso,BFA,HOTOSM/OSM,12.360985,-1.558308,,,private
Les trésors plus,school,Burkina Faso,BFA,HOTOSM/OSM,12.362614,-1.558375,,,private
Ecole privée Piidi les fleurs,school,Burkina Faso,BFA,HOTOSM/OSM,12.363443,-1.556439,,,private
Collège Marie Reine,school,Burkina Faso,BFA,HOTOSM/OSM,11.790164,-0.368715,,,private
Cité A,school,Burkina Faso,BFA,HOTOSM/OSM,11.79688,-0.378686,,,public
Université Nazi Boni,university,Burkina Faso,BFA,HOTOSM/OSM,11.209439,-4.417484,,,public
Ecole Nasser Hamed,school,Burkina Faso,BFA,HOTOSM/OSM,12.411523,-1.634379,yes,,
Ecole Nasser Hamed,school,Burkina Faso,BFA,HOTOSM/OSM,12.411884,-1.634637,yes,,
École de Foungou,,Burkina Faso,BFA,HOTOSM/OSM,11.432531,-0.771105,school,Gon Boussougou,
Lycée Provincial du Zondoma(LPZ),school,Burkina Faso,BFA,HOTOSM/OSM,13.206604,-2.346002,,,public
