Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Syria,Lattakia,Al Qardaha,SYR,SY0604,SY06,October,2019,0,0
Syria,Homs,Al Makhrim,SYR,SY0406,SY04,October,2019,0,0
Syria,Ar Raqqa,Ar Raqqa,SYR,SY1101,SY11,October,2019,11,8
Syria,Tartous,Sheikh Badr,SYR,SY1005,SY10,October,2019,0,0
Syria,Quneitra,Al Fiq,SYR,SY1402,SY14,October,2019,0,0
Syria,Aleppo,Jebel Saman,SYR,SY0200,SY02,October,2019,57,8
Syria,Homs,Al Qusayr,SYR,SY0402,SY04,October,2019,0,0
Syria,Aleppo,Afrin,SYR,SY0203,SY02,October,2019,34,18
Syria,As Sweida,Shahba,SYR,SY1303,SY13,October,2019,2,1
Syria,Aleppo,Ain Al Arab,SYR,SY0206,SY02,October,2019,37,23
Syria,Al Hasakeh,Al Hasakeh,SYR,SY0800,SY08,October,2019,56,78
Syria,Idleb,Jisr Ash Shugur,SYR,SY0704,SY07,October,2019,35,22
Syria,Idleb,Idleb,SYR,SY0700,SY07,October,2019,47,30
Syria,Rural Damascus,Rural Damascus,SYR,SY0301,SY03,October,2019,1,0
Syria,Damascus,Damascus,SYR,SY0100,SY01,October,2019,1,1
Syria,Al Hasakeh,Ras Al Ain,SYR,SY0804,SY08,October,2019,235,421
Syria,Idleb,Ariha,SYR,SY0705,SY07,October,2019,20,2
Syria,Hama,Hama,SYR,SY0501,SY05,October,2019,5,6
Syria,Aleppo,Azaz,SYR,SY0204,SY02,October,2019,65,29
Syria,Aleppo,Al Bab,SYR,SY0202,SY02,October,2019,26,9
Syria,Ar Raqqa,Tell Abiad,SYR,SY1102,SY11,October,2019,146,308
Syria,Lattakia,Lattakia,SYR,SY0600,SY06,October,2019,12,7
Syria,Tartous,Banyas,SYR,SY1002,SY10,October,2019,0,0
Syria,Quneitra,Quneitra,SYR,SY1400,SY14,October,2019,0,0
Syria,Tartous,Tartous,SYR,SY1000,SY10,October,2019,0,0
Syria,Tartous,Qadmous,SYR,SY1006,SY10,October,2019,0,0
Syria,Ar Raqqa,Ath Thawrah,SYR,SY1103,SY11,November,2019,5,10
