Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Afghanistan,Ghazni,Jaghatu,AFG,AF1114,AF11,October,2023,0,0,33.528218,68.068518
Afghanistan,Takhar,Baharak,AFG,AF1803,AF18,October,2023,0,0,36.832879,69.395313
Afghanistan,Takhar,Chal,AFG,AF1805,AF18,October,2023,0,0,36.497396,69.559194
Afghanistan,Kapisa,Nijrab,AFG,AF0205,AF02,October,2023,0,0,35.04628,69.645976
Afghanistan,Badakhshan,Zebak,AFG,AF1725,AF17,October,2023,0,0,36.426552,71.342025
Afghanistan,Badakhshan,Argo,AFG,AF1702,AF17,October,2023,0,0,37.0504466,70.3917603
Afghanistan,Sar-e Pol,Sancharak,AFG,AF2205,AF22,October,2023,0,0,35.842099,66.341588
Afghanistan,Jowzjan,Khanaqa,AFG,AF2803,AF28,October,2023,0,0,36.783951,66.128518
Afghanistan,Ghor,Lal Wa Sar Jangal,AFG,AF2307,AF23,October,2023,0,0,34.604258,66.2741
Afghanistan,Kunduz,Kunduz,AFG,AF1901,AF19,October,2023,1,1,36.796657,68.858742
Afghanistan,Samangan,Hazrat-e-Sultan,AFG,AF2002,AF20,October,2023,0,0,36.4340924,67.9846745
Afghanistan,Nimruz,Khashrod,AFG,AF3405,AF34,October,2023,0,0,31.735881,62.910369
Afghanistan,Badakhshan,Shuhada,AFG,AF1712,AF17,October,2023,0,0,37.104261,71.163764
Afghanistan,Nuristan,Bargi Matal,AFG,AF1608,AF16,October,2023,0,0,35.79649,71.2590174
Afghanistan,Kunduz,Dasht-e-Archi,AFG,AF1906,AF19,October,2023,0,0,36.963604,69.157287
Afghanistan,Paktika,Zarghun Shahr,AFG,AF1207,AF12,October,2023,0,0,32.853675,68.477821
Afghanistan,Jowzjan,Aqchah,AFG,AF2807,AF28,October,2023,0,0,36.904111,66.208041
Afghanistan,Takhar,Farkhar,AFG,AF1808,AF18,October,2023,0,0,36.469899,69.960827
Afghanistan,Helmand,Nahr-i-Saraj,AFG,AF3004,AF30,October,2023,0,0,31.820894,64.570048
Afghanistan,Takhar,Eshkamesh,AFG,AF1811,AF18,October,2023,1,0,36.3852832,69.3151823
Afghanistan,Ghazni,Waghaz,AFG,AF1104,AF11,October,2023,0,0,33.409127,68.211953
Afghanistan,Kunar,Dangam,AFG,AF1512,AF15,October,2023,0,0,35.002093,71.437221
Afghanistan,Kabul,Farza,AFG,AF0112,AF01,October,2023,0,0,34.794016,69.017701
Afghanistan,Kabul,Guldara,AFG,AF0111,AF01,October,2023,0,0,34.748013,68.995308
Afghanistan,Herat,Gulran,AFG,AF3208,AF32,October,2023,0,0,35.134036,61.57135
Afghanistan,Laghman,Alingar,AFG,AF0704,AF07,October,2023,0,0,34.817499,70.410769
Afghanistan,Paktika,Omna,AFG,AF1206,AF12,October,2023,0,0,32.8942,68.813259
Afghanistan,Kunar,Mara wara,AFG,AF1502,AF15,October,2023,0,0,34.95,71.133333
Afghanistan,Daykundi,Khedir,AFG,AF2404,AF24,October,2023,0,0,33.897949,65.7770887
Afghanistan,Bamyan,Bamyan,AFG,AF1001,AF10,October,2023,0,0,34.794631,67.684334
Afghanistan,Kunar,Bar Kunar,AFG,AF1508,AF15,October,2023,0,0,35.071868,71.37769
Afghanistan,Badakhshan,Baharak,AFG,AF1706,AF17,October,2023,0,0,37.0467005,70.8704794
Afghanistan,Khost,Qalandar,AFG,AF1410,AF14,October,2023,0,0,33.491869,69.658717
Afghanistan,Balkh,Zari,AFG,AF2115,AF21,October,2023,0,0,35.8567217,66.7570267
Afghanistan,Kunar,Watapoor,AFG,AF1503,AF15,October,2023,1,0,34.95,71.133333
Afghanistan,Nangarhar,Muhmand Dara,AFG,AF0617,AF06,October,2023,0,0,34.204757,70.984181
Afghanistan,Parwan,Salang,AFG,AF0306,AF03,October,2023,0,0,35.276921,69.151311
Afghanistan,Paktika,Barmal,AFG,AF1214,AF12,October,2023,0,0,32.71433,69.275053
Afghanistan,Balkh,Dawlat Abad,AFG,AF2109,AF21,October,2023,0,0,36.5268933,65.0327823
Afghanistan,Nangarhar,Rodat,AFG,AF0607,AF06,October,2023,1,1,34.273006,70.568225
Afghanistan,Panjshir,Bazarak,AFG,AF0801,AF08,October,2023,0,0,35.3428593,69.5139925
Afghanistan,Paktia,Jaji,AFG,AF1307,AF13,October,2023,0,0,33.9818763,69.6859755
